TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
1  13  13  1  3  0  9  
2  25  12  1  3  0  11  
3  36  11  1  3  0  10  
4  48  12  1  3  0  11  
5  60  12  1  3  0  11  
6  71  11  1  3  0  10  
7  82  11  1  3  0  10  
8  92  10  1  3  0  9  
9  104  12  1  3  0  11  
10  115  11  1  3  0  10  
